product_id,title,description,category
1,Electronics Item 1,"A electronics product (id=1) — useful, well-reviewed and popular among electronics shoppers.",electronics
2,Electronics Item 2,"A electronics product (id=2) — useful, well-reviewed and popular among electronics shoppers.",electronics
3,Home Item 3,"A home product (id=3) — useful, well-reviewed and popular among home shoppers.",home
4,Sports Item 4,"A sports product (id=4) — useful, well-reviewed and popular among sports shoppers.",sports
5,Books Item 5,"A books product (id=5) — useful, well-reviewed and popular among books shoppers.",books
6,Sports Item 6,"A sports product (id=6) — useful, well-reviewed and popular among sports shoppers.",sports
7,Toys Item 7,"A toys product (id=7) — useful, well-reviewed and popular among toys shoppers.",toys
8,Toys Item 8,"A toys product (id=8) — useful, well-reviewed and popular among toys shoppers.",toys
9,Electronics Item 9,"A electronics product (id=9) — useful, well-reviewed and popular among electronics shoppers.",electronics
10,Toys Item 10,"A toys product (id=10) — useful, well-reviewed and popular among toys shoppers.",toys
11,Electronics Item 11,"A electronics product (id=11) — useful, well-reviewed and popular among electronics shoppers.",electronics
12,Fashion Item 12,"A fashion product (id=12) — useful, well-reviewed and popular among fashion shoppers.",fashion
13,Toys Item 13,"A toys product (id=13) — useful, well-reviewed and popular among toys shoppers.",toys
14,Fashion Item 14,"A fashion product (id=14) — useful, well-reviewed and popular among fashion shoppers.",fashion
15,Home Item 15,"A home product (id=15) — useful, well-reviewed and popular among home shoppers.",home
16,Electronics Item 16,"A electronics product (id=16) — useful, well-reviewed and popular among electronics shoppers.",electronics
17,Books Item 17,"A books product (id=17) — useful, well-reviewed and popular among books shoppers.",books
18,Toys Item 18,"A toys product (id=18) — useful, well-reviewed and popular among toys shoppers.",toys
19,Electronics Item 19,"A electronics product (id=19) — useful, well-reviewed and popular among electronics shoppers.",electronics
20,Sports Item 20,"A sports product (id=20) — useful, well-reviewed and popular among sports shoppers.",sports
21,Toys Item 21,"A toys product (id=21) — useful, well-reviewed and popular among toys shoppers.",toys
22,Sports Item 22,"A sports product (id=22) — useful, well-reviewed and popular among sports shoppers.",sports
23,Home Item 23,"A home product (id=23) — useful, well-reviewed and popular among home shoppers.",home
24,Sports Item 24,"A sports product (id=24) — useful, well-reviewed and popular among sports shoppers.",sports
25,Home Item 25,"A home product (id=25) — useful, well-reviewed and popular among home shoppers.",home
26,Electronics Item 26,"A electronics product (id=26) — useful, well-reviewed and popular among electronics shoppers.",electronics
27,Home Item 27,"A home product (id=27) — useful, well-reviewed and popular among home shoppers.",home
28,Sports Item 28,"A sports product (id=28) — useful, well-reviewed and popular among sports shoppers.",sports
29,Toys Item 29,"A toys product (id=29) — useful, well-reviewed and popular among toys shoppers.",toys
30,Fashion Item 30,"A fashion product (id=30) — useful, well-reviewed and popular among fashion shoppers.",fashion
31,Fashion Item 31,"A fashion product (id=31) — useful, well-reviewed and popular among fashion shoppers.",fashion
32,Toys Item 32,"A toys product (id=32) — useful, well-reviewed and popular among toys shoppers.",toys
33,Electronics Item 33,"A electronics product (id=33) — useful, well-reviewed and popular among electronics shoppers.",electronics
34,Books Item 34,"A books product (id=34) — useful, well-reviewed and popular among books shoppers.",books
35,Toys Item 35,"A toys product (id=35) — useful, well-reviewed and popular among toys shoppers.",toys
36,Electronics Item 36,"A electronics product (id=36) — useful, well-reviewed and popular among electronics shoppers.",electronics
37,Electronics Item 37,"A electronics product (id=37) — useful, well-reviewed and popular among electronics shoppers.",electronics
38,Toys Item 38,"A toys product (id=38) — useful, well-reviewed and popular among toys shoppers.",toys
39,Fashion Item 39,"A fashion product (id=39) — useful, well-reviewed and popular among fashion shoppers.",fashion
40,Home Item 40,"A home product (id=40) — useful, well-reviewed and popular among home shoppers.",home
41,Electronics Item 41,"A electronics product (id=41) — useful, well-reviewed and popular among electronics shoppers.",electronics
42,Sports Item 42,"A sports product (id=42) — useful, well-reviewed and popular among sports shoppers.",sports
43,Books Item 43,"A books product (id=43) — useful, well-reviewed and popular among books shoppers.",books
44,Electronics Item 44,"A electronics product (id=44) — useful, well-reviewed and popular among electronics shoppers.",electronics
45,Home Item 45,"A home product (id=45) — useful, well-reviewed and popular among home shoppers.",home
46,Fashion Item 46,"A fashion product (id=46) — useful, well-reviewed and popular among fashion shoppers.",fashion
